anno,settimana,numero_casi,numero_assistiti,incidenza,target
2024,42,865,199109,4.34435409750438,ILI
2024,43,833,199109,4.18363810777012,ILI
2024,44,869,200569,4.33267354376798,ILI
2024,45,1072,200569,5.34479406089675,ILI
2024,46,1417,200569,7.06490035848012,ILI
2024,47,1546,200569,7.70807053931565,ILI
2024,48,1702,200116,8.50506706110456,ILI
2024,49,1803,197699,9.11992473406542,ILI
2024,50,1786,191363,9.3330476633414,ILI
2024,51,1843,187616,9.8232560122804,ILI
2024,52,1950,180329,10.8135685330701,ILI
2025,1,2081,168686,12.3365305953073,ILI
2025,2,2057,132495,15.5251141552511,ILI
