anno,settimana,numero_casi,numero_assistiti,incidenza,target
2024,42,1105,132396,8.34617360041089,ILI
2024,43,951,132396,7.18299646515,ILI
2024,44,797,130655,6.10003444185068,ILI
2024,45,883,132396,6.6693857820478,ILI
2024,46,935,132396,7.06214689265537,ILI
2024,47,1027,132396,7.75703193449953,ILI
2024,48,1115,131034,8.50924187615428,ILI
2024,49,1190,131260,9.06597592564376,ILI
2024,50,1311,129364,10.1341949846944,ILI
2024,51,1162,125953,9.22566354116218,ILI
2024,52,878,112952,7.77321340038246,ILI
2025,1,1190,118711,10.0243448374624,ILI
2025,2,1745,130869,13.3339446316546,ILI
2025,3,1839,129334,14.2189988711398,ILI
2025,4,1947,130869,14.8774728927401,ILI
2025,5,1829,130869,13.9758078689376,ILI
2025,6,1629,130869,12.4475620658827,ILI
2025,7,1466,130869,11.2020417363929,ILI
2025,8,1343,130869,10.2621705675141,ILI
2025,9,1111,130869,8.48940543597032,ILI
2025,10,939,130869,7.17511404534305,ILI
2025,11,885,130150,6.79984633115636,ILI
2025,12,820,129368,6.33850720425453,ILI
2025,13,695,126422,5.49746088497255,ILI
2025,14,646,124674,5.18151338691307,ILI
2025,15,553,114702,4.82118881972415,ILI
