anno,settimana,incidenza,numero_casi,numero_assistiti
2003,42,0.36,357,1000656
2003,43,0.47,500,1066723
2003,44,0.52,597,1150866
2003,45,0.6,723,1204797
2003,46,0.59,742,1251026
2003,47,0.7,866,1244433
2003,48,0.64,805,1250648
2003,49,0.8,990,1242983
2003,50,0.99,1238,1256363
2003,51,1.3,1615,1242043
2003,52,1.32,1589,1207104
2004,01,1.71,2058,1202319
2004,02,2.17,2670,1227765
2004,03,2.82,3512,1243420
2004,04,3.67,4543,1237574
