anno,settimana,incidenza,numero_casi,numero_assistiti,target
2022,43,0.0,0.0,0.0,ILI
2022,44,0.0,0.0,0.0,ILI
2022,45,4.53,280.0,61833.0,ILI
2022,46,10.74,1098.0,102231.0,ILI
2022,47,16.43,1.98,120541.0,ILI
2022,48,19.04,2299.0,120772.0,ILI
2022,49,14.2,1807.0,127234.0,ILI
2022,50,13.26,1592.0,120032.0,ILI
2022,51,10.15,1078.0,106175.0,ILI
2022,52,9.87,996.0,100947.0,ILI
2023,1,8.81,947.0,107524.0,ILI
2023,2,7.78,839.0,107851.0,ILI
2023,3,7.19,866.0,120455.0,ILI
2023,4,6.35,740.0,116520.0,ILI
2023,5,6.04,649.0,107531.0,ILI
2023,6,5.96,562.0,94242.0,ILI
2023,7,6.71,501.0,74656.0,ILI
2023,8,7.62,586.0,76945.0,ILI
