anno,settimana,incidenza,numero_casi,numero_assistiti,target
2021,42,2.49,4272,1713241,ILI
2021,43,2.89,4966,1720624,ILI
2021,44,3.24,5590,1725143,ILI
2021,45,3.82,6673,1747584,ILI
2021,46,4.19,7301,1741924,ILI
2021,47,4.46,7820,1755204,ILI
2021,48,4.39,7589,1729390,ILI
2021,49,4.12,7120,1728741,ILI
2021,50,4.43,7589,1713465,ILI
