anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,44,0.17,26.0,149133.0,ILI
2012,45,0.22,32.0,144145.0,ILI
2012,46,0.21,31.0,144618.0,ILI
2012,47,0.29,37.0,129370.0,ILI
2012,48,0.27,42.0,153241.0,ILI
2012,49,0.34,50.0,144952.0,ILI
2012,50,0.44,60.0,137350.0,ILI
2012,51,0.58,58.0,100745.0,ILI
2012,52,0.58,58.0,100745.0,ILI
2013,1,1.18,166.0,140345.0,ILI
